filename_i,date,citedby_count
545,2017-12-31,83
546,2017-12-31,87
547,2017-12-31,64
548,2017-12-31,29
549,2017-12-31,19
550,2017-12-31,25
551,2017-12-31,31
552,2017-12-31,6
553,2017-12-31,19
554,2017-12-31,19
555,2017-12-31,1
556,2017-12-31,18
557,2017-12-31,20
558,2017-12-31,7
559,2017-12-30,0
560,2017-12-30,0
561,2017-12-30,0
562,2017-12-30,0
563,2017-12-30,0
564,2017-12-30,0
565,2017-12-30,2
566,2017-12-30,1
567,2017-12-30,3
568,2017-12-30,1
569,2017-12-30,0
570,2017-12-30,0
571,2017-12-30,0
572,2017-12-30,1
573,2017-12-30,0
574,2017-12-30,0
575,2017-12-30,4
576,2017-12-31,1
577,2017-12-31,1
578,2017-12-31,0
579,2017-12-31,0
580,2017-12-31,4
581,2017-12-31,2
582,2017-12-31,2
583,2017-12-31,6
584,2017-12-31,2
585,2017-12-31,1
586,2017-12-31,9
587,2017-12-31,2
588,2017-12-31,2
589,2017-12-31,2
590,2017-12-31,3
591,2017-12-31,7
592,2017-12-31,2
593,2017-12-31,8
594,2017-12-31,9
595,2017-12-31,0
596,2017-12-31,1
597,2017-12-31,1
598,2017-12-31,4
599,2017-12-31,2
600,2017-12-31,0
601,2017-12-31,0
602,2017-12-31,0
603,2017-12-31,0
604,2017-12-31,0
605,2017-12-31,0
606,2017-12-31,0
607,2017-12-31,0
608,2017-12-31,0
609,2017-12-31,1
610,2017-12-31,0
611,2017-12-31,6
612,2017-12-31,4
613,2017-12-31,0
614,2017-12-31,0
615,2017-12-31,0
616,2017-12-31,0
617,2017-12-31,1
618,2017-12-31,1
619,2017-12-31,0
620,2017-12-31,1
621,2017-12-31,9
622,2017-12-31,0
623,2017-12-31,0
624,2017-12-31,0
625,2017-12-31,1
626,2017-12-31,0
627,2017-12-31,0
628,2017-12-31,0
629,2017-12-31,0
630,2017-12-31,0
631,2017-12-31,0
632,2017-12-31,0
633,2017-12-31,0
634,2017-12-31,1
635,2017-12-31,1
636,2017-12-31,0
637,2017-12-31,0
638,2017-12-31,4
639,2017-12-31,5
640,2017-12-31,2
641,2017-12-31,10
642,2017-12-31,2
643,2017-12-31,3
644,2017-12-31,11
645,2017-12-31,13
646,2017-12-31,12
647,2017-12-31,2
648,2017-12-31,20
649,2017-12-31,2
650,2017-12-31,11
651,2017-12-31,27
652,2017-12-31,21
653,2017-12-31,13
654,2017-12-31,14
655,2017-12-31,4
656,2017-12-31,8
657,2017-12-31,40
658,2017-12-31,9
659,2017-12-31,13
660,2017-12-31,14
661,2017-12-31,1
662,2017-12-31,3
663,2017-12-31,1
664,2017-12-31,6
665,2017-12-31,4
666,2017-12-31,7
667,2017-12-31,23
668,2017-12-31,12
669,2017-12-31,1
670,2017-12-31,4
671,2017-12-31,0
672,2017-12-31,6
673,2017-12-31,0
674,2017-12-31,0
675,2017-12-31,1
676,2017-12-31,0
677,2017-12-31,0
678,2017-12-31,0
679,2017-12-31,0
680,2017-12-31,0
681,2017-12-31,1
682,2017-12-31,0
683,2017-12-31,0
684,2017-12-31,0
685,2017-12-31,0
686,2017-12-31,0
687,2017-12-31,0
688,2017-12-31,1
689,2017-12-31,1
690,2017-12-31,0
691,2017-12-31,1
692,2017-12-31,0
693,2017-12-31,0
694,2017-12-31,0
695,2017-12-31,2
696,2017-12-31,0
697,2017-12-31,1
698,2017-12-31,0
699,2017-12-31,0
700,2017-12-31,0
701,2017-12-31,1
702,2017-12-31,0
703,2017-12-31,3
704,2017-12-31,8
705,2017-12-31,8
706,2017-12-31,2
707,2017-12-31,0
708,2017-12-31,1
709,2017-12-31,1
710,2017-12-31,1
711,2017-12-31,1
712,2017-12-31,2
713,2017-12-31,3
714,2017-12-31,2
715,2017-12-31,4
716,2017-12-31,0
717,2017-12-31,4
718,2017-12-31,4
719,2017-12-31,3
720,2017-12-31,1
721,2017-12-31,0
722,2017-12-31,5
723,2017-12-31,4
724,2017-12-31,18
725,2017-12-31,4
726,2017-12-31,9
727,2017-12-31,5
728,2017-12-31,3
729,2017-12-31,1
730,2017-12-31,1
731,2017-12-31,2
732,2017-12-31,12
733,2017-12-31,54
734,2017-12-31,17
735,2017-12-31,20
736,2017-12-31,6
737,2017-12-31,5
738,2017-12-31,4
739,2017-12-31,1
740,2017-12-31,3
741,2017-12-31,9
742,2017-12-31,1
743,2017-12-31,0
744,2017-12-31,5
745,2017-12-31,12
746,2017-12-31,1
747,2017-12-31,50
748,2017-12-31,68
749,2017-12-31,9
750,2017-12-31,5
751,2017-12-31,5
752,2017-12-31,0
753,2017-12-31,2
754,2017-12-31,2
755,2017-12-31,3
756,2017-12-31,9
757,2017-12-31,2
758,2017-12-31,2
759,2017-12-31,7
760,2017-12-31,2
761,2017-12-31,3
762,2017-12-31,5
763,2017-12-31,0
764,2017-12-31,0
765,2017-12-31,2
766,2017-12-31,1
767,2017-12-31,0
768,2017-12-31,5
769,2017-12-31,0
770,2017-12-31,0
771,2017-12-31,1
772,2017-12-31,5
773,2017-12-31,0
774,2017-12-31,3
775,2017-12-31,3
776,2017-12-31,1
777,2017-12-31,4
778,2017-12-31,1
779,2017-12-31,0
780,2017-12-31,0
781,2017-12-31,1
782,2017-12-31,7
783,2017-12-31,2
784,2017-12-31,0
785,2017-12-31,2
786,2017-12-31,2
787,2017-12-31,1
788,2017-12-31,0
789,2017-12-31,0
790,2017-12-31,1
791,2017-12-31,0
792,2017-12-31,2
793,2017-12-31,0
794,2017-12-31,1
795,2017-12-31,0
796,2017-12-31,2
797,2017-12-31,11
798,2017-12-31,1
799,2017-12-31,6
800,2017-12-31,2
801,2017-12-31,2
802,2017-12-31,3
803,2017-12-31,5
804,2017-12-31,0
805,2017-12-31,0
806,2017-12-31,3
807,2017-12-31,1
808,2017-12-31,2
809,2017-12-31,9
810,2017-12-31,14
811,2017-12-31,5
812,2017-12-31,0
813,2017-12-31,0
814,2017-12-31,1
815,2017-12-31,5
816,2017-12-31,2
817,2017-12-31,1
818,2017-12-31,0
819,2017-12-31,1
820,2017-12-31,2
821,2017-12-31,1
822,2017-12-31,1
823,2017-12-31,4
824,2017-12-31,34
825,2017-12-31,22
826,2017-12-31,0
827,2017-12-31,31
828,2017-12-31,6
829,2017-12-31,13
830,2017-12-31,9
831,2017-12-31,22
832,2017-12-31,7
833,2017-12-31,1
834,2017-12-31,3
835,2017-12-31,2
836,2017-12-31,1
837,2017-12-31,3
838,2017-12-31,3
839,2017-12-31,3
840,2017-12-31,3
841,2017-12-31,2
842,2017-12-31,0
843,2017-12-31,5
844,2017-12-31,0
845,2017-12-31,0
846,2017-12-31,6
847,2017-12-31,0
848,2017-12-31,0
849,2017-12-31,3
850,2017-12-31,12
851,2017-12-31,2
852,2017-12-31,1
853,2017-12-31,3
854,2017-12-31,1
855,2017-12-31,17
856,2017-12-31,7
857,2017-12-31,7
858,2017-12-31,7
859,2017-12-31,0
860,2017-12-31,1
861,2017-12-31,1
862,2017-12-31,6
863,2017-12-31,11
864,2017-12-31,6
865,2017-12-31,65
866,2017-12-31,1
867,2017-12-31,10
868,2017-12-31,0
869,2017-12-31,0
870,2017-12-31,4
871,2017-12-31,0
872,2017-12-31,0
873,2017-12-31,2
874,2017-12-31,2
875,2017-12-31,2
876,2017-12-31,2
877,2017-12-31,1
878,2017-12-31,1
879,2017-12-31,2
880,2017-12-31,0
881,2017-12-31,0
882,2017-12-31,4
883,2017-12-31,0
884,2017-12-31,2
885,2017-12-31,0
886,2017-12-31,4
887,2017-12-31,48
888,2017-12-31,3
889,2017-12-31,64
890,2017-12-31,30
891,2017-12-31,2
892,2017-12-31,10
893,2017-12-31,11
894,2017-12-31,26
895,2017-12-31,17
896,2017-12-31,3
897,2017-12-31,0
898,2017-12-31,5
899,2017-12-31,94
900,2017-12-31,2
901,2017-12-31,15
902,2017-12-31,6
903,2017-12-31,18
904,2017-12-31,4
905,2017-12-31,20
906,2017-12-31,39
907,2017-12-31,0
908,2017-12-31,7
909,2017-12-31,14
910,2017-12-31,10
911,2017-12-31,6
912,2017-12-31,8
913,2017-12-31,3
914,2017-12-31,12
915,2017-12-31,12
916,2017-12-31,11
917,2017-12-31,10
918,2017-12-31,5
919,2017-12-31,5
920,2017-12-31,3
921,2017-12-31,10
922,2017-12-31,2
923,2017-12-31,6
924,2017-12-31,8
925,2017-12-31,6
926,2017-12-31,7
927,2017-12-31,2
928,2017-12-31,11
929,2017-12-31,2
930,2017-12-31,16
931,2017-12-31,15
932,2017-12-31,8
933,2017-12-31,6
934,2017-12-31,4
935,2017-12-31,13
936,2017-12-31,25
937,2017-12-31,11
938,2017-12-31,81
939,2017-12-31,11
940,2017-12-31,25
941,2017-12-31,5
942,2017-12-31,21
943,2017-12-31,6
944,2017-12-31,8
945,2017-12-31,1
946,2017-12-31,1
947,2017-12-31,2
948,2017-12-31,49
949,2017-12-31,3
